,close,high,low,open,time,volumefrom,volumeto,timestamp
1515,6316.85,6316.85,6308.21,6311.93,1530472020,13.17,83754.31,2018-07-01 15:07:00
1516,6312.61,6316.87,6307.66,6316.85,1530472080,22.91,144665.89,2018-07-01 15:08:00
1517,6315.48,6315.63,6307.4,6312.55,1530472140,9.43,59815.49,2018-07-01 15:09:00
1518,6315.08,6315.64,6306.03,6315.52,1530472200,14.16,89342.8,2018-07-01 15:10:00
1519,6300.83,6315.1,6300.83,6315.08,1530472260,62.89,396889.75,2018-07-01 15:11:00
1520,6304.36,6308.91,6300.25,6300.81,1530472320,33.28,209741.5,2018-07-01 15:12:00
1521,6299.61,6305.23,6296.4,6304.49,1530472380,24.3,153363.03,2018-07-01 15:13:00
1522,6305.38,6306.57,6298.14,6299.61,1530472440,22.36,141184.59,2018-07-01 15:14:00
1523,6296.05,6308.25,6295.7,6305.79,1530472500,18.4,115865.21,2018-07-01 15:15:00
1524,6301.4,6307.08,6295.86,6296.05,1530472560,9.72,61270.01,2018-07-01 15:16:00
1525,6304.35,6308.18,6296.63,6301.4,1530472620,12.93,81849.27,2018-07-01 15:17:00
1526,6303.07,6306.6,6296.47,6304.32,1530472680,13.73,86634.46,2018-07-01 15:18:00
1527,6301.5,6308.53,6299.19,6303.05,1530472740,19.49,123002.24,2018-07-01 15:19:00
1528,6296.88,6308.51,6296.72,6301.49,1530472800,10.81,68263.19,2018-07-01 15:20:00
1529,6308.73,6308.73,6296.72,6296.72,1530472860,10.92,68920.0,2018-07-01 15:21:00
1530,6295.65,6308.74,6294.75,6308.64,1530472920,61.79,389784.8,2018-07-01 15:22:00
1531,6294.13,6305.97,6294.01,6297.04,1530472980,19.01,119894.72,2018-07-01 15:23:00
1532,6294.78,6303.32,6293.1,6294.13,1530473040,11.13,70411.34,2018-07-01 15:24:00
1533,6296.14,6305.75,6294.47,6294.78,1530473100,12.51,79112.49,2018-07-01 15:25:00
1534,6298.35,6303.94,6292.06,6296.14,1530473160,12.33,77736.47,2018-07-01 15:26:00
1535,6303.72,6304.01,6290.84,6298.35,1530473220,24.67,155609.22,2018-07-01 15:27:00
1536,6303.91,6305.02,6297.61,6303.72,1530473280,26.49,167556.36,2018-07-01 15:28:00
1537,6298.91,6303.91,6293.38,6303.91,1530473340,9.99,63303.92,2018-07-01 15:29:00
1538,6293.84,6303.51,6293.83,6298.7,1530473400,12.85,81074.52,2018-07-01 15:30:00
1539,6297.81,6304.33,6293.73,6294.71,1530473460,13.03,82155.94,2018-07-01 15:31:00
1540,6292.43,6298.77,6291.12,6297.81,1530473520,11.13,70561.0,2018-07-01 15:32:00
